,r6i1p1f1,r21i1p2f1,r13i1p2f1,r19i1p2f1,r17i1p1f1,r3i1p2f1,r11i1p1f1,r14i1p2f1,r14i1p1f1,r7i1p2f1,r12i1p2f1,r12i1p1f1,r17i1p2f1,r7i1p1f1,r25i1p1f1,r11i1p2f1,r18i1p1f1,r4i1p2f1,r21i1p1f1,r15i1p2f1,r23i1p2f1,r9i1p1f1,r25i1p2f1,r20i1p2f1
1951,2.778089668,-1.648580559,-2.080017327,-1.279507378,3.565413582,-3.087290581,1.716144478,-0.601593254,0.529956733,0.061712715,-0.120078057,2.041266548,-0.951361321,-1.510569695,2.52839698,-0.780021904,-0.36603875,-0.494935539,-0.356939324,2.026423713,-2.856603325,2.432103645,-3.386984185,1.450264351
1952,1.560503914,-1.689028557,1.248926765,0.630755989,1.725170967,2.462064888,0.366168892,1.940203926,-0.277908867,-0.165468682,2.21468177,0.664544746,-0.304912041,-0.509287956,-1.287299126,1.486162483,-0.208048943,0.853704292,3.878321602,2.055295479,1.38498603,3.040302192,3.239239876,0.978838875
1953,-2.730227593,-0.007436455,-0.87051751,-0.427253044,6.810726692,1.984825508,-4.286804131,4.325234138,2.104592659,-0.433795403,1.693595344,1.97534919,-3.065786675,1.388471443,3.416682808,1.529367744,2.182350532,2.334914619,1.440960151,1.283206856,1.645044014,-0.985514458,-0.038045586,-0.302912224
1954,1.055158455,2.134821846,-0.049750908,2.62057502,-0.384509514,-0.03491967,1.163507759,-1.453901299,1.471348945,-1.301342705,-1.057891472,2.047870857,1.363555366,-0.058136528,-0.00965844,-3.910808953,0.692594368,1.41896064,1.112299568,1.374419319,1.294952156,2.20021125,0.27723365,-0.186963738
1955,0.733070137,1.222161628,0.177331306,1.088897773,2.940460884,-1.389122551,-0.460457695,1.527765877,2.261095649,1.155404732,3.770477669,-3.939058769,-4.088854302,3.282862617,0.565645515,0.934049141,-2.943452385,-0.423902825,-1.872821587,0.417792122,3.194054939,-1.263691948,-0.316555107,-3.853049553
1956,-1.824390801,2.200707161,2.479185554,1.669823066,-2.798507012,1.195865547,0.885316231,1.053263313,2.419544746,-1.354230889,-3.436745842,0.317784797,1.557104561,-1.11256707,1.940338508,-3.20336541,-0.995141228,3.675749885,-0.915955742,1.624640877,2.160478279,-2.589430168,2.64341407,-1.967568596
1957,1.43146949,-0.970077751,3.420252754,-0.68460595,-2.991956719,1.67117408,2.843547432,1.511169807,2.2227938,0.094119331,3.003954231,-0.678167046,-1.404121636,-0.103181694,1.161517402,1.513359443,-1.642936638,-2.156584099,-0.478217705,1.334239876,-0.169935539,0.515083992,3.594306404,-0.067585381
1958,-1.656249932,-0.279868706,-1.144576958,0.157379829,-2.359507378,-0.326977165,0.875219795,0.304418709,-0.098109978,2.795862495,1.648703682,1.373294441,-0.43667321,2.426358406,-3.523483208,0.172470772,4.199359199,-1.464691094,-1.110418328,3.231621773,-1.665707329,1.509861824,0.767521431,1.434211494
1959,1.788621895,2.01335273,3.48620887,-4.097179192,-1.097283562,-1.710587395,-1.106321953,-1.574636772,0.747267524,-0.270047234,1.654351265,1.182697822,0.644454109,-1.111038445,-2.595482109,0.973030464,-0.988142632,0.575486824,1.111736824,-0.338763359,0.372467415,1.915145637,0.043367683,-1.168008965
1960,2.36699958,3.880430671,-0.045374077,3.748391487,1.531885444,2.081517402,0.104331428,0.011968757,-3.062938774,1.199137642,0.756864692,2.413375313,2.940425789,3.30609687,-3.590826958,3.546167366,2.332133552,-1.142820977,-0.036887749,0.705808479,-1.07735009,1.062557136,1.383078987,1.996104805
